#    L    TT             EE             BB             TE          
   313   0.341276E+04   0.114267E+02   0.906185E-05   0.115311E+03
   314   0.337988E+04   0.116090E+02   0.897068E-05   0.115066E+03
   315   0.334710E+04   0.117905E+02   0.888034E-05   0.114778E+03
   316   0.331443E+04   0.119725E+02   0.879088E-05   0.114452E+03
   317   0.328185E+04   0.121536E+02   0.870235E-05   0.114088E+03
   318   0.324938E+04   0.123361E+02   0.861480E-05   0.113688E+03
   319   0.321707E+04   0.125176E+02   0.852826E-05   0.113251E+03
   320   0.318495E+04   0.126989E+02   0.844279E-05   0.112784E+03
   321   0.315292E+04   0.128807E+02   0.835842E-05   0.112273E+03
   322   0.312107E+04   0.130609E+02   0.827521E-05   0.111725E+03
   323   0.308939E+04   0.132410E+02   0.819320E-05   0.111140E+03
   324   0.305789E+04   0.134215E+02   0.811244E-05   0.110512E+03
   325   0.302663E+04   0.135989E+02   0.803296E-05   0.109861E+03
   326   0.299548E+04   0.137776E+02   0.795481E-05   0.109159E+03
   327   0.296457E+04   0.139554E+02   0.787805E-05   0.108427E+03
   328   0.293391E+04   0.141315E+02   0.780271E-05   0.107667E+03
   329   0.290342E+04   0.143074E+02   0.772884E-05   0.106862E+03
   330   0.287318E+04   0.144816E+02   0.765648E-05   0.106022E+03
   331   0.284327E+04   0.146549E+02   0.758568E-05   0.105152E+03
   332   0.281352E+04   0.148279E+02   0.751649E-05   0.104253E+03
   333   0.278403E+04   0.149993E+02   0.744895E-05   0.103318E+03
   334   0.275485E+04   0.151698E+02   0.738310E-05   0.102347E+03
   335   0.272585E+04   0.153378E+02   0.731899E-05   0.101340E+03
   336   0.269717E+04   0.155048E+02   0.725667E-05   0.100304E+03
   337   0.266881E+04   0.156709E+02   0.719618E-05   0.992246E+02
   338   0.264070E+04   0.158346E+02   0.713756E-05   0.981241E+02
   339   0.261298E+04   0.159981E+02   0.708086E-05   0.969875E+02
   340   0.258551E+04   0.161591E+02   0.702613E-05   0.958300E+02
   341   0.255829E+04   0.163177E+02   0.697341E-05   0.946292E+02
   342   0.253146E+04   0.164761E+02   0.692275E-05   0.934000E+02
   343   0.250495E+04   0.166312E+02   0.687418E-05   0.921425E+02
   344   0.247884E+04   0.167847E+02   0.682777E-05   0.908567E+02
   345   0.245297E+04   0.169358E+02   0.678354E-05   0.895428E+02
   346   0.242750E+04   0.170858E+02   0.674155E-05   0.882081E+02
   347   0.240234E+04   0.172327E+02   0.670184E-05   0.868379E+02
   348   0.237758E+04   0.173772E+02   0.666445E-05   0.854397E+02
   349   0.235314E+04   0.175199E+02   0.662944E-05   0.840135E+02
   350   0.232910E+04   0.176594E+02   0.659685E-05   0.825667E+02
   351   0.230559E+04   0.177972E+02   0.656669E-05   0.810921E+02
   352   0.228226E+04   0.179326E+02   0.653893E-05   0.795897E+02
   353   0.225940E+04   0.180648E+02   0.651348E-05   0.780742E+02
   354   0.223685E+04   0.181945E+02   0.649027E-05   0.765235E+02
   355   0.221476E+04   0.183218E+02   0.646923E-05   0.749525E+02
   356   0.219307E+04   0.184467E+02   0.645028E-05   0.733685E+02
   357   0.217177E+04   0.185684E+02   0.643336E-05   0.717569E+02
   358   0.215093E+04   0.186862E+02   0.641838E-05   0.701323E+02
   359   0.213041E+04   0.188017E+02   0.640528E-05   0.684801E+02
   360   0.211035E+04   0.189147E+02   0.639398E-05   0.668114E+02
   361   0.209067E+04   0.190245E+02   0.638441E-05   0.651217E+02
   362   0.207146E+04   0.191313E+02   0.637650E-05   0.634140E+02
   363   0.205263E+04   0.192357E+02   0.637017E-05   0.616907E+02
   364   0.203427E+04   0.193354E+02   0.636534E-05   0.599479E+02
   365   0.201628E+04   0.194328E+02   0.636195E-05   0.581917E+02
   366   0.199876E+04   0.195270E+02   0.635992E-05   0.564192E+02
   367   0.198170E+04   0.196167E+02   0.635919E-05   0.546325E+02
   368   0.196494E+04   0.197041E+02   0.635966E-05   0.528332E+02
   369   0.194879E+04   0.197883E+02   0.636128E-05   0.510191E+02
   370   0.193302E+04   0.198687E+02   0.636397E-05   0.491955E+02
   371   0.191763E+04   0.199453E+02   0.636765E-05   0.473585E+02
   372   0.190270E+04   0.200188E+02   0.637226E-05   0.455127E+02
   373   0.188822E+04   0.200885E+02   0.637771E-05   0.436552E+02
   374   0.187420E+04   0.201551E+02   0.638394E-05   0.417897E+02
   375   0.186055E+04   0.202180E+02   0.639087E-05   0.399162E+02
   376   0.184743E+04   0.202777E+02   0.639843E-05   0.380347E+02
   377   0.183476E+04   0.203330E+02   0.640655E-05   0.361483E+02
   378   0.182247E+04   0.203845E+02   0.641514E-05   0.342540E+02
   379   0.181063E+04   0.204329E+02   0.642415E-05   0.323562E+02
   380   0.179931E+04   0.204783E+02   0.643349E-05   0.304529E+02
   381   0.178837E+04   0.205170E+02   0.644310E-05   0.285468E+02
   382   0.177780E+04   0.205541E+02   0.645289E-05   0.266389E+02
   383   0.176776E+04   0.205868E+02   0.646280E-05   0.247277E+02
   384   0.175823E+04   0.206150E+02   0.647275E-05   0.228169E+02
   385   0.174901E+04   0.206409E+02   0.648267E-05   0.209050E+02
   386   0.174030E+04   0.206623E+02   0.649249E-05   0.189944E+02
   387   0.173197E+04   0.206793E+02   0.650213E-05   0.170849E+02
   388   0.172408E+04   0.206925E+02   0.651151E-05   0.151782E+02
   389   0.171663E+04   0.206998E+02   0.652058E-05   0.132743E+02
   390   0.170963E+04   0.207064E+02   0.652924E-05   0.113753E+02
   391   0.170307E+04   0.207077E+02   0.653744E-05   0.947994E+01
   392   0.169688E+04   0.207069E+02   0.654509E-05   0.759110E+01
   393   0.169120E+04   0.207009E+02   0.655213E-05   0.570808E+01
   394   0.168589E+04   0.206911E+02   0.655847E-05   0.383315E+01
